"rank","word","pronunciation","pos","cn","en"
"1145","distance","/ˈdɪs.təns/","noun","距离","amount of space between two places or things"
"1146","guide","/gaɪd/","verb","引导；带领","to lead people visiting a new or unknown place"
"1147","grant","/grɑnt/","verb","授予","to give or let someone do what they want"
"1148","taxi","/ˈtæk.si/","noun","出租车","car that transports people for money"
"1149","feed","/fid/","verb","喂食","to give food (e.g., to an animal or a baby)"
"1150","pain","/peɪn/","noun","疼痛","strong feeling of hurt or discomfort"
"1151","sector","/ˈsɛk.tər/","noun","部门","area that includes certain kinds of job"
"1152","mistake","/mɪˈsteɪk/","noun","错误","something done wrong, calculated wrong.; error"
"1153","ensure","/ɛnˈʃʊər/","verb","确保","to make something sure, certain, or safe"
"1154","satisfy","/ˈsæt.ɪsˌfaɪ/","verb","使满意","to be happy because you met your expectation"
"1155","chief","/tʃif/","adj","最高领导人","most important one"
"1156","cool","/kul/","adj","凉的","almost cold; not warm or hot"
"1157","expert","/ˈɛk.spərt/","noun","专家","skillful person with special knowledge"
"1158","wave","/weɪv/","verb","挥手","to move your hand or arm to say hello or goodbye"
"1159","south","/saʊθ/","noun","南方","direction to your right when facing the rising sun; opposite of north"
"1160","labor","/ˈleɪ.bər/","verb","劳动","to work hard (often physically) for many hours"
"1161","surface","/ˈsɜr.fɪs/","adj","表面的","of the top layer; superficial"
"1162","library","/ˈlaɪˌbrə.ri/","noun","图书馆","place where books and other media are kept"
"1163","excellent","/ˈɛk.sə.lənt/","adj","杰出的","extremely good"
"1164","edge","/ɛdʒ/","noun","边缘","boundary of a surface"
"1165","camp","/kæmp/","noun","营地","place where people live for a short time in tents"
"1166","audience","/ˈɔ.di.əns/","noun","观众；听众","group of people listening, watch a play, movie, etc."
"1167","lift","/lɪft/","verb","举起","to move something to higher position"
"1168","procedure","/prəˈsi.dʒər/","noun","程序","usual or standard way in which something is done"
"1169","e-mail","/ˈiˌmeɪl/","noun","电子邮件","a system for sending messages electronically, especially from one computer to another using the internet"
"1170","global","/ˈgloʊ.bəl/","adj","全球的","concerning, affecting, or involving the entire world"
"1171","struggle","/ˈstrʌg.əl/","verb","奋斗；挣扎","to try very hard to do something difficult"
"1172","advertise","/ˈæd.vərˌtaɪz/","verb","做广告","to show how good a product is, to make people buy"
"1173","select","/sɪˈlɛkt/","verb","选择","to choose from a group, something most suitable"
"1174","surround","/səˈraʊnd/","verb","围绕","to be on every side of something"
"1175","extent","/ɪkˈstɛnt/","noun","程度；范围","range or space included in something"
"1176","river","/ˈrɪv.ər/","noun","河","flowing water that runs from mountains to the sea"
"1177","annual","/ˈæn.ju.əl/","adj","年度的；每年的","happening once a year, or every year"
"1178","fully","/ˈfʊl.li/","adv","完全地；充分地","completely or entirely"
"1179","contrast","/ˈkɑn.træst/","verb","对比;对照","to compare; to show clear, obvious differences"
"1180","roll","/roʊl/","verb","滚动；卷","to move along a surface by turning many times"
"1181","reality","/riˈæl.ɪ.ti/","noun","现实","what is true, as opposed to what is imagined"
"1182","photograph","/ˈfoʊ.təˌgræf/","noun","照片","a picture made with a camera that shows how things look in real life"
"1183","artist","/ˈɑr.tɪst/","noun","艺术家","a person who is skilled and creative in art, such as a painter"
"1184","conflict","/kənˈflɪkt/","verb","冲突;矛盾","to have opposite ideas; to disagree; to not match"
"1185","entire","/ɛnˈtaɪər/","adj","全部的；整体的","complete or full; with no part left out; whole"
"1186","presence","/ˈprɛz.əns/","noun","在场；出现","fact that someone or something is in a particular place"
"1187","crowd","/kraʊd/","noun","人群","large group of people together in one place"
"1188","corner","/ˈkɔr.nər/","noun","角，角落","place where two or three sides, lines, or roads meet"
"1189","gas","/gæs/","noun","气体；汽油","elements in our air, like oxygen or nitrogen"
"1190","shift","/ʃɪft/","verb","转换","to change in position or direction"
"1191","net","/nɛt/","noun","网状物","material made of string tied together and used to catch fish or other small animals"
"1192","category","/ˈkæt.ɪˌgɔr.i/","noun","种类","groups of things that are similar in some way"
"1193","secretary","/ˈsɛk.rɪˌtɛr.i/","noun","秘书","an employee who does general office work for another person in the office"
"1194","defense","/dɪˈfɛns/","noun","防卫","process of protecting something from attack"
"1195","quick","/kwɪk/","adj","快速的","using very little time; moving far in little time"
"1196","cook","/kʊk/","verb","烹饪","to heat food until it is ready to eat"
"1197","spread","/sprɛd/","verb","传播","to place something over or cover a large area"
"1198","nuclear","/ˈnu.kli.ər/","adj","原子能的；核能的","concerning or involving the center of an atom"
"1199","scale","/skeɪl/","noun","规模","a device that is used to weigh a person or thing"
"1200","driver","/ˈdraɪ.vər/","noun","司机","someone who operates a vehicle"
"1201","ball","/bɑl/","noun","球","small round object often used in a game or sport"
"1202","cry","/kraɪ/","verb","哭","to produce tears and sounds because of pain"
"1203","introduction","/ˌɪn.trəˈdʌk.ʃən/","noun","介绍","making someone known to another by name"
"1204","requirement","/rɪˈkwaɪər.mənt/","noun","必要条件；必需品","something that is a necessity"
"1205","north","/nɔrθ/","noun","北方","direction to your left when facing the rising sun"
"1206","confirm","/kənˈfɜrm/","verb","确认","to provide evidence to establish the truth of"
"1207","senior","/ˈsin.jər/","adj","高级的","having higher status or authority than another person"
"1208","photo","/ˈfoʊ.toʊ/","noun","照片","short for photograph; a picture taken by a camera"
"1209","refuse","/rɪˈfjuz/","verb","拒绝","to say that you will not accept something"
"1210","transport","/trænsˈpɔrt/","verb","运输","to carry things from one place to another"
"1211","emerge","/ɪˈmɜrdʒ/","verb","浮现；显露","to rise or appear out of some background"
"1212","map","/mæp/","noun","地图","picture showing the geography of an area"
"1213","concept","/ˈkɑn.sɛpt/","noun","概念","abstract idea of something or how it works"
"1214","island","/ˈaɪ.lənd/","noun","岛","area of land that is surrounded by water"
"1215","reform","/rɪˈfɔrm/","verb","改革","to improve society by removing abuse and injustices"
"1216","neither","/ˈni.ðər/","adj","（两者）都不的","not one or the other; not either; none of two things"
"1217","football","/ˈfʊtˌbɑl/","noun","足球","sport where 2 teams try to kick a ball in a goal; soccer"
"1218","survive","/sərˈvaɪv/","verb","幸存","to continue to live despite illness or trouble"
"1219","flight","/flaɪt/","noun","航班；飞行","act of flying"
"1220","left","/lɛft/","noun","左边","side of your body your heart is on"
"1221","solve","/sɑlv/","verb","解放","to find a way to deal with a problem"
"1222","neighbor","/ˈneɪ.bər/","noun","邻居","person who lives, or is near, you"
"1223","background","/ˈbæk.ɡraʊnd/","noun","背景","images, color, or information behind the main one"
"1224","technique","/tɛkˈnik/","noun","技术","way of doing by using special knowledge or skill"
"1225","traffic","/ˈtræf.ɪk/","noun","交通","amount of activity over a communication system"
"1226","improvement","/ɪmˈpruv.mənt/","noun","改进；改善","addition or change that makes something better"
"1227","tool","/tul/","noun","工具","device used to make things (e.g., a hammer or driver)"
"1228","consequence","/ˈkɑn.sɪˌkwɛns/","noun","结果；后果","outcome of an event; result"
"1229","circumstance","/ˈsɜr.kəmˌstæns/","noun","条件；环境","condition or fact that affects a situation"
"1230","smoke","/smoʊk/","verb","吸烟","to breathe in through a cigarette and then blow it out"
"1231","reaction","/riˈæk.ʃən/","noun","反应","feeling or action in response to something"
"1232","rain","/reɪn/","noun","雨","drops of water that fall out of clouds in the sky"
"1233","busy","/ˈbɪz.i/","adj","忙碌的","working hard doing something; full of activity"
"1234","lesson","/ˈlɛs.ən/","noun","课程；教训","a time or event where teaching and learning occur; class"
"1235","brain","/breɪn/","noun","脑","part of the head that thinks and controls your body"
"1236","mass","/mæs/","noun","大量；团，堆","a large amount of something, often of no particular shape"
"1237","funny","/ˈfʌn.i/","adj","有趣的","causing laughter; amusing"
"1238","contribute","/kənˈtrɪb.jut/","verb","贡献","give something of value to or help someone or something"
"1239","failure","/ˈfeɪl.jər/","noun","失败","act or result of not achieving your goals"
"1240","schedule","/ˈskɛdʒ.ul/","verb","安排","to arrange a time to do something with others"
"1241","speaker","/ˈspi.kər/","noun","扬声器","person who makes a speech before a group"
"1242","bottom","/ˈbɒt.əm/","noun","底部","lowest part of something; part on which it rests"
"1243","adopt","/əˈdɑpt/","verb","采用；收养","to take on responsibility for something"
"1244","combine","/kəmˈbaɪn/","verb","结合","to mix several things together to form one thing"
"1245","mountain","/ˈmaʊn.tn/","noun","山","very high piece of land, higher than a hill"
"1246","waste","/weɪst/","verb","浪费","to use valuable things ineffectively"
"1247","hide","/haɪd/","verb","隐藏","to put a thing where it can't be found; go where you won't be found"
"1248","marriage","/ˈmær.ɪdʒ/","noun","婚姻","formal relationship between a husband and a wife"
"1249","ticket","/ˈtɪk.ɪt/","noun","票","piece of paper that lets you enter or use something"
"1250","meal","/mil/","noun","一餐","food for eating at a particular time (e.g., dinner)"
"1251","colleague","/ˈkɑl.iɡ/","noun","同事","someone who works with you; coworker"
"1252","bag","/bæg/","noun","包；袋","soft container to put things in and carry with you"
"1253","repeat","/rɪˈpit/","verb","重复","to say something again"
"1254","equal","/ˈi.kwəl/","adj","相等的","same in shape, size, or number"
"1255","expression","/ɪkˈsprɛʃ.ən/","noun","表达","act of making your thoughts and feelings known"
"1256","plus","/plʌs/","prep","加；和","with; showing one amount added to another"
"1257","extremely","/ɪkˈstrim.li/","adv","极其","in a way that is much more than usual or expected"
"1258","owner","/ˈoʊ.nər/","noun","所有者","person who owns or has something"
"1259","plane","/pleɪn/","noun","飞机","an airplane"
"1260","commercial","/kəˈmɜr.ʃəl/","noun","商业广告","radio or television advertisement"
"1261","lady","/ˈleɪ.di/","noun","女士","another way of saying 'woman'"
"1262","duty","/ˈdu.ti/","noun","职责","work required by your job or position"
"1263","strength","/strɛŋkθ/","noun","强度；力量","being strong"
"1264","connect","/kəˈnɛkt/","verb","连接","to join or attach things together"
"1265","cultural","/ˈkʌl.tʃər.əl/","adj","文化的","of a particular society's customs and beliefs"
"1266","arrange","/əˈreɪndʒ/","verb","安排","to put things into a particular order; to plan and organize an event"
